lead_id,created_date,branch,channel,country_interested,service_type,counselor,budget_range,follow_up_count,status,last_update_date,cycle_days
LD00411,2025-09-25,Dhanmondi ,Walk-in,USA,Study Abroad Consultation,Shuvo,20+ Lakh,4,Lost,2025-10-08,13
LD00412,2025-02-25,Sylhet,Walk-in,Australia,Study Abroad Consultation,Nusrat,20+ Lakh,4,Contacted,2025-03-08,11
LD00413,2025-05-10,Dhanmondi,Google Ads,Canada,Study Abroad Consultation,Arafat,<5 Lakh,4,New,2025-05-24,14
LD00414,2025-12-25,Kalabagan,Referral,UK,Study Abroad Consultation,Mim,<5 Lakh,5,Enrolled,2026-04-25,121
LD00415,2026-06-17,Chattogram,Facebook Ads,USA,Study Abroad Consultation,Rafi,5-10 Lakh,1,Contacted,2026-06-24,7
LD00416,2025-04-23,Dhanmondi,Facebook Ads,Australia,Study Abroad Consultation,Priya,5-10 Lakh,5,Lost,2025-05-22,29
LD00417,2025-02-19,Dhanmondi,Walk-in,UK,Study Abroad Consultation,Priya,10-20 Lakh,1,Consultation Done,2025-02-26,7
LD00418,2025-12-21,Uttara,Google Ads,Germany,Visa Processing,Arafat,<5 Lakh,3,Enrolled,2026-04-02,102
LD00419,2025-04-17,Chattogram,Facebook Ads,UK,Study Abroad Consultation,Rafi,<5 Lakh,1,Enrolled,2025-06-24,68
LD00420,2026-02-23,Kalabagan,Website Form,UK,Study Abroad Consultation,Mim,10-20 Lakh,7,New,2026-02-24,1
LD00421,2026-03-17,Sylhet,Facebook Ads,Canada,Study Abroad Consultation,Nusrat,<5 Lakh,2,Contacted,2026-03-17,0
LD00422,2026-02-13,Kalabagan,Walk-in,Australia,Study Abroad Consultation,Tanvir,5-10 Lakh,3,Enrolled,2026-06-03,110
LD00423,2026-03-07,Uttara,Facebook Ads,Canada,Language Course,Shuvo,5-10 Lakh,4,Consultation Done,2026-03-17,10
LD00424,2026-05-18,Kalabagan,Walk-in,Malaysia,IELTS Preparation,Mim,10-20 Lakh,5,Consultation Done,2026-05-27,9
LD00425,2025-03-20,Uttara,Facebook Ads,Germany,Study Abroad Consultation,Shuvo,5-10 Lakh,4,Consultation Done,2025-04-05,16
LD00426,2025-06-13,Kalabagan,Google Ads,USA,Visa Processing,Tanvir,10-20 Lakh,2,Consultation Done,2025-06-26,13
LD00427,2026-07-22,Kalabagan,Referral,USA,IELTS Preparation,Tanvir,<5 Lakh,3,Enrolled,2026-07-31,26
LD00428,2025-10-30,Kalabagan,Walk-in,UK,Study Abroad Consultation,Tanvir,5-10 Lakh,3,Consultation Done,2025-11-14,15
LD00429,2026-02-05,Chattogram,Facebook Ads,UK,Study Abroad Consultation,Shuvo,5-10 Lakh,2,Lost,2026-02-24,19
LD00430,2025-03-04,Uttara,Google Ads,Germany,IELTS Preparation,Priya,20+ Lakh,3,Contacted,2025-03-13,9
LD00431,2025-02-01,Uttara,Facebook Ads,Australia,IELTS Preparation,Nusrat,5-10 Lakh,4,New,2025-02-01,0
LD00432,2025-11-17,Sylhet,Website Form,Canada,IELTS Preparation,Priya,5-10 Lakh,1,Contacted,2025-12-06,19
LD00433,2025-02-26,Chattogram,Walk-in,Malaysia,Visa Processing,Mim,5-10 Lakh,1,New,2025-03-11,13
LD00434,2026-01-18,Kalabagan,Google Ads,Canada,Study Abroad Consultation,Nusrat,20+ Lakh,4,New,2026-01-29,11
LD00435,2025-01-06,Kalabagan,Website Form,UK,Study Abroad Consultation,Nusrat,10-20 Lakh,2,Contacted,2025-01-13,7
LD00436,2025-01-26,Kalabagan,Facebook Ads,Australia,Study Abroad Consultation,Tanvir,20+ Lakh,1,Lost,2025-02-12,17
LD00437,2025-01-20,Dhanmondi,Website Form,UK,Language Course,Mim,5-10 Lakh,2,Lost,2025-01-23,3
LD00438,2026-02-20,Chattogram,Facebook Ads,UK,Study Abroad Consultation,Mim,<5 Lakh,3,Consultation Done,2026-03-09,17
LD00439,2026-03-16,Dhanmondi ,Website Form,USA,Study Abroad Consultation,Mim,10-20 Lakh,7,Consultation Done,2026-03-20,4
LD00440,2025-04-13,Sylhet,Website Form,Australia,Study Abroad Consultation,priya,5-10 Lakh,4,Enrolled,2025-07-30,108
LD00441,2026-07-30,Kalabagan,Walk-in,UK,Visa Processing,Nusrat,<5 Lakh,1,New,2026-07-31,8
LD00442,2025-10-21,Uttara,Website Form,UK,Study Abroad Consultation,Shuvo,,0,Lost,2025-12-08,48
LD00443,2025-10-28,Kalabagan,Walk-in,Australia,Study Abroad Consultation,Shuvo,,3,Consultation Done,2025-10-29,1
LD00444,2025-08-11,Kalabagan,Referral,UK,Study Abroad Consultation,Tanvir,20+ Lakh,5,Application Submitted,2025-08-29,18
LD00445,2025-08-30,Chattogram,Facebook Ads,Germany,Study Abroad Consultation,Tanvir,10-20 Lakh,4,Lost,2025-10-07,38
LD00446,2025-10-21,Uttara,Website Form,UK,Study Abroad Consultation,Shuvo,20+ Lakh,3,Consultation Done,2025-11-03,13
LD00447,2026-03-22,Chattogram,Website Form,Canada,Study Abroad Consultation,Rafi,5-10 Lakh,2,Application Submitted,2026-06-09,79
LD00448,2026-07-19,Kalabagan,Referral,Australia,Study Abroad Consultation,Nusrat,10-20 Lakh,6,Application Submitted,2026-07-31,35
LD00449,2025-07-06,Uttara,Facebook Ads,UK,IELTS Preparation,Tanvir,5-10 Lakh,4,New,2025-07-24,18
LD00450,2025-12-10,Uttara,Facebook Ads,UK,Study Abroad Consultation,Tanvir,10-20 Lakh,3,Lost,2025-12-16,6
LD00451,2026-05-01,Chattogram,Website Form,Canada,Study Abroad Consultation,Rafi,<5 Lakh,6,Contacted,2026-05-01,0
LD00452,2025-07-20,Uttara,Google Ads,Canada,Study Abroad Consultation,Nusrat,10-20 Lakh,3,Contacted,2025-07-27,7
LD00453,2025-05-19,Uttara,Google Ads,USA,IELTS Preparation,Priya,10-20 Lakh,3,Application Submitted,2025-07-15,57
LD00454,2026-01-18,Chattogram,Referral,Malaysia,Study Abroad Consultation,Priya,<5 Lakh,2,Visa Approved,2026-05-19,121
LD00455,2025-01-15,Dhanmondi,Seminar/Event,Canada,Study Abroad Consultation,Arafat,5-10 Lakh,1,Contacted,2025-01-16,1
LD00456,2026-03-05,Sylhet,Google Ads,UK,Study Abroad Consultation,Nusrat,20+ Lakh,6,Application Submitted,2026-06-13,100
LD00457,2026-04-26,Dhanmondi,Google Ads,UK,Study Abroad Consultation,Tanvir,<5 Lakh,2,Consultation Done,2026-05-03,7
LD00458,2025-02-19,Uttara,Facebook Ads,Australia,IELTS Preparation,Mim,5-10 Lakh,2,New,2025-03-04,13
LD00459,2026-07-12,Dhanmondi,Google Ads,Germany,Language Course,Rafi,20+ Lakh,3,Contacted,2026-07-31,19
LD00460,2025-02-06,Sylhet,Facebook Ads,Australia,Language Course,Tanvir,5-10 Lakh,7,Contacted,2025-02-13,7
LD00461,2026-04-13,Kalabagan,Walk-in,Canada,IELTS Preparation,Arafat,10-20 Lakh,4,Consultation Done,2026-04-15,2
LD00462,2025-06-27,Dhanmondi,Walk-in,Australia,IELTS Preparation,Rafi,5-10 Lakh,1,Contacted,2025-07-15,18
LD00463,2026-03-22,Dhanmondi,Walk-in,USA,Visa Processing,Priya,5-10 Lakh,4,Application Submitted,2026-04-24,33
LD00464,2025-07-30,Dhanmondi,Google Ads,UK,IELTS Preparation,Nusrat,,4,Contacted,2025-08-09,10
LD00465,2026-03-13,Dhanmondi,Seminar/Event,Malaysia,Study Abroad Consultation,Priya,10-20 Lakh,3,Enrolled,2026-06-13,92
LD00466,2025-02-03,Uttara,Website Form,Germany,IELTS Preparation,Mim,10-20 Lakh,8,Enrolled,2025-04-11,67
LD00467,2025-12-07,Dhanmondi,Facebook Ads,Malaysia,Study Abroad Consultation,Rafi,<5 Lakh,0,Consultation Done,2025-12-17,10
LD00468,2026-07-19,Uttara,Referral,UK,IELTS Preparation,Arafat,<5 Lakh,1,Enrolled,2026-07-31,136
LD00469,2026-04-10,Chattogram,Seminar/Event,Australia,Study Abroad Consultation,Priya,<5 Lakh,4,Lost,2026-05-09,29
LD00470,2025-06-18,Uttara,Facebook Ads,Canada,Visa Processing,Arafat,5-10 Lakh,2,Lost,2025-06-27,9
LD00471,2026-05-24,Sylhet,Google Ads,USA,IELTS Preparation,Priya,<5 Lakh,4,New,2026-05-29,5
LD00472,2026-07-05,Kalabagan ,Walk-in,USA,IELTS Preparation,Nusrat,<5 Lakh,5,Application Submitted,2026-07-31,51
LD00473,2026-04-28,Kalabagan,Referral,UK,Study Abroad Consultation,Tanvir,<5 Lakh,3,Contacted,2026-05-12,14
LD00474,2026-01-27,Uttara,Walk-in,UK,IELTS Preparation,Priya,<5 Lakh,5,Contacted,2026-02-03,7
LD00475,2026-07-22,Kalabagan,Walk-in,UK,Study Abroad Consultation,Tanvir,10-20 Lakh,2,New,2026-07-31,15
LD00476,2026-05-06,Dhanmondi,Referral,Australia,IELTS Preparation,Rafi,5-10 Lakh,5,Lost,2026-07-04,59
LD00477,2025-01-13,Uttara,Walk-in,UK,Study Abroad Consultation,Arafat,<5 Lakh,4,Enrolled,2025-03-17,63
LD00478,2025-03-08,Kalabagan,Google Ads,USA,Study Abroad Consultation,Nusrat,5-10 Lakh,2,Contacted,2025-03-09,1
LD00479,2025-08-13,Sylhet,Facebook Ads,Germany,IELTS Preparation,Priya,10-20 Lakh,2,Contacted,2025-09-01,19
LD00480,2025-08-20,Dhanmondi,Referral,USA,IELTS Preparation,Arafat,10-20 Lakh,1,Lost,2025-09-25,36
LD00481,2025-09-12,Uttara,Facebook Ads,Australia,Study Abroad Consultation,Nusrat,<5 Lakh,3,Lost,2025-10-28,46
LD00482,2025-04-24,Uttara,Referral,Canada,Visa Processing,Arafat,5-10 Lakh,5,Lost,2025-05-28,34
LD00483,2025-06-18,Dhanmondi,Referral,UK,Study Abroad Consultation,Priya,,1,Consultation Done,2025-07-06,18
LD00484,2025-11-11,Kalabagan,Referral,Germany,Study Abroad Consultation,Nusrat,20+ Lakh,0,Enrolled,2026-03-22,131
LD00485,2025-07-25,Dhanmondi,Walk-in,USA,Study Abroad Consultation,Shuvo,<5 Lakh,4,Lost,2025-09-15,52
LD00486,2025-04-18,Kalabagan,Walk-in,Malaysia,IELTS Preparation,Rafi,20+ Lakh,5,Lost,2025-04-23,5
LD00487,2025-04-09,Uttara,Facebook Ads,Canada,IELTS Preparation,Tanvir,5-10 Lakh,4,Enrolled,2025-07-31,113
LD00488,2025-01-22,Kalabagan,Seminar/Event,Canada,Study Abroad Consultation,Shuvo,<5 Lakh,5,Lost,2025-02-17,26
LD00489,2025-10-14,Chattogram,Facebook Ads,Canada,Study Abroad Consultation,Nusrat,5-10 Lakh,2,Enrolled,2026-01-21,99
LD00490,2025-04-01,Uttara,Walk-in,UK,Study Abroad Consultation,Tanvir,5-10 Lakh,4,Enrolled,2025-07-13,103
LD00491,2025-10-14,Chattogram,Referral,Germany,Study Abroad Consultation,Tanvir,<5 Lakh,2,Application Submitted,2026-01-20,98
LD00492,2025-08-07,Chattogram,Referral,UK,Study Abroad Consultation,Mim,5-10 Lakh,0,Enrolled,2025-09-21,45
LD00493,2025-09-20,Kalabagan,Seminar/Event,USA,Study Abroad Consultation,Tanvir,5-10 Lakh,3,Contacted,2025-10-08,18
LD00494,2025-12-06,Kalabagan,Referral,Australia,Visa Processing,Mim,10-20 Lakh,1,Enrolled,2026-01-17,42
LD00495,2025-03-30,Kalabagan,Seminar/Event,UK,IELTS Preparation,Priya,20+ Lakh,4,Lost,2025-05-28,59
LD00496,2025-02-21,Chattogram,Website Form,USA,Study Abroad Consultation,Priya,10-20 Lakh,4,Lost,2025-02-24,3
LD00497,2025-06-13,Dhanmondi,Website Form,UK,IELTS Preparation,Mim,5-10 Lakh,1,Consultation Done,2025-06-20,7
LD00498,2025-01-03,Dhanmondi,Facebook Ads,Germany,Study Abroad Consultation,Priya,5-10 Lakh,3,Contacted,2025-01-12,9
LD00499,2025-08-06,Chattogram,Facebook Ads,UK,Study Abroad Consultation,Tanvir,<5 Lakh,6,Contacted,2025-08-15,9
LD00500,2025-01-14,Uttara,Referral,USA,Language Course,Shuvo,10-20 Lakh,3,Lost,2025-03-06,51
LD00501,2025-09-26,Uttara,Facebook Ads,UK,Study Abroad Consultation,Shuvo,5-10 Lakh,1,Lost,2025-10-30,34
LD00502,2026-03-26,Kalabagan,Facebook Ads,Canada,Study Abroad Consultation,Nusrat,20+ Lakh,3,Contacted,2026-04-01,6
LD00503,2026-06-05,Uttara,Facebook Ads,UK,Study Abroad Consultation,Tanvir,20+ Lakh,2,Consultation Done,2026-06-05,0
LD00504,2025-06-22,Sylhet,Facebook Ads,UK,Study Abroad Consultation,Rafi,20+ Lakh,0,Consultation Done,2025-06-27,5
LD00505,2025-12-16,Uttara,Facebook Ads,Malaysia,Visa Processing,Rafi,<5 Lakh,0,Lost,2025-12-25,9
LD00506,2025-05-29,Dhanmondi,Google Ads,UK,Language Course,Priya,5-10 Lakh,6,Contacted,2025-06-10,12
LD00507,2025-01-21,Dhanmondi,Website Form,Malaysia,IELTS Preparation,Mim,<5 Lakh,5,Lost,2025-03-14,52
LD00508,2026-04-11,Chattogram,Google Ads,USA,Study Abroad Consultation,Shuvo,5-10 Lakh,2,Enrolled,2026-05-14,33
LD00509,2026-06-25,Dhanmondi,Facebook Ads,UK,Study Abroad Consultation,Arafat,20+ Lakh,2,Contacted,2026-07-07,12
LD00510,2026-02-10,Uttara,Google Ads,USA,Visa Processing,Priya,5-10 Lakh,0,Consultation Done,2026-02-14,4
LD00511,2025-09-09,Uttara,Seminar/Event,Australia,Language Course,Mim,<5 Lakh,4,New,2025-09-24,15
LD00512,2026-06-23,Kalabagan,Seminar/Event,Germany,Language Course,Tanvir,10-20 Lakh,2,Contacted,2026-07-12,19
LD00513,2025-01-26,Uttara,Google Ads,UK,Study Abroad Consultation,Rafi,5-10 Lakh,2,New,2025-01-26,0
LD00514,2025-11-01,Uttara,Facebook Ads,Canada,Study Abroad Consultation,Tanvir,5-10 Lakh,3,Enrolled,2026-02-13,104
LD00515,2025-09-21,Kalabagan,Website Form,UK,Study Abroad Consultation,Mim,10-20 Lakh,1,Application Submitted,2025-11-24,64
LD00516,2025-03-29,Kalabagan,Website Form,Canada,IELTS Preparation,Rafi,<5 Lakh,6,Lost,2025-04-24,26
LD00517,2025-09-14,Kalabagan,Seminar/Event,Germany,Study Abroad Consultation,Priya,20+ Lakh,1,Application Submitted,2026-01-20,128
LD00518,2025-07-22,Dhanmondi,Facebook Ads,USA,Study Abroad Consultation,Nusrat,10-20 Lakh,1,Enrolled,2025-12-15,146
LD00519,2025-09-16,Chattogram,Facebook Ads,USA,IELTS Preparation,Nusrat,5-10 Lakh,2,Contacted,2025-10-04,18
LD00520,2026-05-03,Uttara,Facebook Ads,Canada,IELTS Preparation,Nusrat,<5 Lakh,3,Contacted,2026-05-17,14
LD00521,2025-10-28,Kalabagan,Seminar/Event,UK,Study Abroad Consultation,Priya,5-10 Lakh,3,Lost,2025-11-18,21
LD00522,2026-01-15,Dhanmondi,Google Ads,UK,Language Course,Shuvo,10-20 Lakh,2,Contacted,2026-01-19,4
LD00523,2025-09-10,Kalabagan,Walk-in,USA,Study Abroad Consultation,Tanvir,10-20 Lakh,1,Lost,2025-10-20,40
LD00524,2025-03-03,Kalabagan,Walk-in,Australia,Visa Processing,Nusrat,5-10 Lakh,2,Consultation Done,2025-03-14,11
LD00525,2026-02-08,Uttara,Walk-in,Canada,Study Abroad Consultation,Rafi,<5 Lakh,2,Enrolled,2026-07-07,149
LD00526,2025-05-31,Dhanmondi,Website Form,Malaysia,Language Course,Rafi,<5 Lakh,2,Lost,2025-06-17,17
LD00527,2025-09-29,Uttara,Seminar/Event,UK,Study Abroad Consultation,Shuvo,5-10 Lakh,2,Contacted,2025-10-06,7
LD00528,2025-07-26,Sylhet,Facebook Ads,Australia,Visa Processing,Rafi,5-10 Lakh,4,Consultation Done,2025-08-05,10
LD00529,2025-11-26,Uttara,Website Form,Australia,Visa Processing,Shuvo,<5 Lakh,2,New,2025-11-27,1
LD00530,2025-11-18,Kalabagan,Facebook Ads,UK,Study Abroad Consultation,Rafi,<5 Lakh,4,Contacted,2025-11-30,12
LD00531,2026-02-04,Chattogram,Facebook Ads,Germany,IELTS Preparation,Shuvo,5-10 Lakh,1,New,2026-02-09,5
LD00532,2025-05-30,Chattogram,Referral,Germany,Study Abroad Consultation,Tanvir,10-20 Lakh,2,Lost,2025-06-02,3
LD00533,2025-08-28,Uttara,Google Ads,Germany,Language Course,Arafat,20+ Lakh,6,New,2025-09-03,6
LD00534,2026-05-13,Uttara,Facebook Ads,Malaysia,IELTS Preparation,Rafi,5-10 Lakh,0,Consultation Done,2026-05-30,17
LD00535,2025-03-27,Sylhet,Walk-in,Australia,Study Abroad Consultation,Shuvo,<5 Lakh,3,Lost,2025-05-05,39
LD00536,2025-04-23,Kalabagan,Referral,Canada,IELTS Preparation,Tanvir,5-10 Lakh,3,Enrolled,2025-09-14,144
LD00537,2026-06-26,Chattogram,Facebook Ads,Canada,Visa Processing,Rafi,5-10 Lakh,6,Consultation Done,2026-07-11,15
LD00538,2026-02-09,Kalabagan,Walk-in,Germany,IELTS Preparation,Nusrat,5-10 Lakh,3,Lost,2026-02-23,14
LD00539,2025-04-25,Kalabagan,Google Ads,Malaysia,Study Abroad Consultation,Mim,<5 Lakh,3,New,2025-05-07,12
LD00540,2025-11-29,Kalabagan,Google Ads,UK,Study Abroad Consultation,Priya,5-10 Lakh,1,New,2025-11-30,1
LD00541,2026-03-30,Kalabagan,Walk-in,USA,IELTS Preparation,Nusrat,<5 Lakh,4,Consultation Done,2026-04-02,3
LD00542,2026-02-24,Kalabagan,Google Ads,USA,Study Abroad Consultation,Arafat,10-20 Lakh,3,Contacted,2026-03-07,11
LD00543,2025-01-10,Chattogram,Facebook Ads,Canada,IELTS Preparation,Priya,<5 Lakh,3,Lost,2025-02-20,41
LD00544,2025-07-14,Kalabagan,Website Form,UK,Study Abroad Consultation,Nusrat,5-10 Lakh,5,Lost,2025-08-14,31
LD00545,2025-06-26,Uttara,Walk-in,USA,Language Course,Nusrat,<5 Lakh,5,Contacted,2025-06-30,4
LD00546,2025-11-26,Chattogram,Referral,UK,Study Abroad Consultation,Rafi,5-10 Lakh,5,Consultation Done,2025-12-14,18
LD00547,2025-09-21,Kalabagan,Facebook Ads,Malaysia,Study Abroad Consultation,Mim,5-10 Lakh,2,Lost,2025-11-10,50
LD00548,2026-01-03,Dhanmondi,Referral,UK,Study Abroad Consultation,Priya,5-10 Lakh,4,New,2026-01-20,17
LD00549,2025-01-13,Dhanmondi,Facebook Ads,UK,Language Course,Arafat,10-20 Lakh,3,Contacted,2025-01-30,17
LD00550,2025-02-04,Sylhet,Facebook Ads,UK,Study Abroad Consultation,Mim,<5 Lakh,2,Contacted,2025-02-11,7
LD00551,2026-01-18,Dhanmondi,Google Ads,UK,Visa Processing,Priya,20+ Lakh,5,Lost,2026-02-10,23
LD00552,2025-04-01,Uttara,Google Ads,USA,Language Course,Priya,5-10 Lakh,3,Application Submitted,2025-05-29,58
LD00553,2026-07-20,Sylhet,Google Ads,UK,IELTS Preparation,Priya,5-10 Lakh,2,Lost,2026-07-31,59
LD00554,2026-02-10,Chattogram,Facebook Ads,USA,IELTS Preparation,Shuvo,20+ Lakh,2,Lost,2026-03-04,22
LD00555,2025-02-23,Kalabagan,Google Ads,UK,Study Abroad Consultation,Arafat,<5 Lakh,6,Application Submitted,2025-07-17,144
LD00556,2025-02-16,Chattogram,Facebook Ads,Canada,IELTS Preparation,Mim,5-10 Lakh,5,Enrolled,2025-03-25,37
LD00557,2026-02-25,Kalabagan,Referral,USA,IELTS Preparation,Priya,<5 Lakh,2,Contacted,2026-03-05,8
LD00558,2025-08-03,Chattogram,Google Ads,UK,Study Abroad Consultation,Tanvir,<5 Lakh,5,Lost,2025-09-05,33
LD00559,2026-04-29,Kalabagan,Google Ads,Malaysia,IELTS Preparation,Tanvir,5-10 Lakh,5,Lost,2026-06-08,40
LD00560,2025-11-12,Uttara,Facebook Ads,Australia,Visa Processing,Shuvo,10-20 Lakh,5,New,2025-11-30,18
LD00561,2026-06-18,Kalabagan,Facebook Ads,Canada,Visa Processing,Priya,,4,Contacted,2026-06-21,3
LD00562,2025-01-05,Chattogram,Website Form,Canada,IELTS Preparation,Tanvir,<5 Lakh,3,New,2025-01-23,18
LD00563,2025-07-09,Sylhet,Facebook Ads,UK,Language Course,Priya,<5 Lakh,3,Consultation Done,2025-07-18,9
LD00564,2026-01-13,Uttara,Google Ads,Australia,Study Abroad Consultation,Priya,5-10 Lakh,2,Lost,2026-02-04,22
LD00565,2025-02-04,Chattogram,Facebook Ads,UK,Visa Processing,Nusrat,5-10 Lakh,3,Consultation Done,2025-02-10,6
LD00566,2025-04-30,Dhanmondi,Referral,UK,Visa Processing,Rafi,<5 Lakh,0,Lost,2025-06-02,33
LD00567,2025-07-16,Dhanmondi,Facebook Ads,Malaysia,Visa Processing,Nusrat,5-10 Lakh,6,New,2025-07-25,9
LD00568,2025-12-22,Kalabagan,Website Form,Germany,IELTS Preparation,Arafat,5-10 Lakh,1,Consultation Done,2026-01-05,14
LD00569,2025-05-24,Kalabagan,Facebook Ads,UK,Study Abroad Consultation,Arafat,5-10 Lakh,6,Contacted,2025-05-29,5
LD00570,2026-04-06,Dhanmondi,Walk-in,Canada,Visa Processing,Arafat,<5 Lakh,3,Contacted,2026-04-12,6
LD00571,2026-02-20,Chattogram,Google Ads,Malaysia,Study Abroad Consultation,Arafat,,2,Contacted,2026-02-26,6
LD00572,2025-11-04,Kalabagan,Google Ads,Canada,IELTS Preparation,Rafi,<5 Lakh,2,Contacted,2025-11-14,10
LD00573,2026-05-14,Kalabagan,Facebook Ads,Malaysia,IELTS Preparation,Mim,5-10 Lakh,2,Visa Approved,2026-06-23,40
LD00574,2026-02-25,Dhanmondi,Referral,USA,Study Abroad Consultation,Arafat,20+ Lakh,3,Enrolled,2026-06-18,113
LD00575,2026-04-23,Uttara,Referral,UK,IELTS Preparation,Arafat,<5 Lakh,2,Visa Approved,2026-05-25,32
LD00576,2025-06-13,Kalabagan,Google Ads,USA,Study Abroad Consultation,Tanvir,10-20 Lakh,3,Lost,2025-07-11,28
LD00577,2025-01-22,Uttara,Facebook Ads,UK,Language Course,Mim,20+ Lakh,2,Contacted,2025-01-26,4
LD00578,2026-05-28,Kalabagan,Facebook Ads,USA,IELTS Preparation,Nusrat,10-20 Lakh,3,New,2026-06-10,13
LD00579,2025-04-06,Chattogram,Referral,Canada,Study Abroad Consultation,Rafi,<5 Lakh,3,Enrolled,2025-05-22,46
LD00580,2025-03-07,Kalabagan,Google Ads,Canada,Study Abroad Consultation,mim,,2,Consultation Done,2025-03-07,0
LD00581,2025-12-03,Uttara,Facebook Ads,Germany,Study Abroad Consultation,Rafi,10-20 Lakh,5,Lost,2025-12-10,7
LD00582,2025-05-09,Chattogram,Facebook Ads,Australia,Study Abroad Consultation,Rafi,10-20 Lakh,0,New,2025-05-24,15
LD00583,2026-02-06,Chattogram,Website Form,Australia,IELTS Preparation,Shuvo,5-10 Lakh,3,Visa Approved,2026-03-14,36
LD00584,2025-08-15,Kalabagan,Walk-in,Canada,Study Abroad Consultation,Rafi,20+ Lakh,1,Enrolled,2025-12-15,122
LD00585,2025-02-16,Kalabagan,Google Ads,USA,Visa Processing,Shuvo,<5 Lakh,3,New,2025-02-20,4
LD00586,2025-12-21,Chattogram,Website Form,Canada,IELTS Preparation,Shuvo,5-10 Lakh,2,Lost,2026-01-24,34
LD00587,2026-07-15,Chattogram,Referral,UK,IELTS Preparation,Nusrat,20+ Lakh,11,Application Submitted,2026-07-31,116
LD00588,2026-03-01,Sylhet,Facebook Ads,Malaysia,Study Abroad Consultation,Shuvo,<5 Lakh,2,Consultation Done,2026-03-12,11
LD00589,2025-08-16,Kalabagan,Referral,USA,IELTS Preparation,Rafi,10-20 Lakh,4,Enrolled,2025-12-07,113
LD00590,2025-12-11,Sylhet,Facebook Ads,UK,Study Abroad Consultation,Priya,10-20 Lakh,1,Lost,2026-01-03,23
LD00591,2025-10-14,Uttara,Website Form,UK,IELTS Preparation,Shuvo,<5 Lakh,3,Lost,2025-10-23,9
LD00592,2026-02-20,Uttara,Facebook Ads,UK,IELTS Preparation,Priya,<5 Lakh,4,Visa Approved,2026-06-19,119
LD00593,2025-02-18,Sylhet,Website Form,Canada,Language Course,Nusrat,<5 Lakh,3,Lost,2025-03-06,16
LD00594,2025-10-16,Kalabagan,Referral,UK,Visa Processing,Arafat,5-10 Lakh,1,Application Submitted,2026-02-08,115
LD00595,2026-04-21,Uttara,Referral,Canada,Study Abroad Consultation,Tanvir,20+ Lakh,3,Consultation Done,2026-05-04,13
LD00596,2025-03-21,Chattogram,Walk-in,UK,IELTS Preparation,Tanvir,<5 Lakh,2,Contacted,2025-03-29,8
LD00597,2025-11-23,Dhanmondi,Facebook Ads,Canada,IELTS Preparation,Rafi,5-10 Lakh,2,Lost,2026-01-05,43
LD00598,2026-06-10,Chattogram,Facebook Ads,Canada,Study Abroad Consultation,Rafi,20+ Lakh,6,New,2026-06-10,0
LD00599,2025-04-03,Kalabagan,Facebook Ads,Canada,Study Abroad Consultation,Arafat,20+ Lakh,6,Enrolled,2025-07-16,104
LD00600,2025-01-06,Dhanmondi,Facebook Ads,Canada,IELTS Preparation,Rafi,5-10 Lakh,6,Consultation Done,2025-01-23,17
LD00601,2025-05-03,Chattogram,Facebook Ads,UK,Study Abroad Consultation,Priya,20+ Lakh,3,Contacted,2025-05-20,17
LD00602,2025-07-27,Uttara,Referral,Canada,Study Abroad Consultation,Mim,5-10 Lakh,2,Lost,2025-08-12,16
LD00603,2025-07-31,Dhanmondi,Seminar/Event,UK,Visa Processing,Arafat,10-20 Lakh,4,Application Submitted,2025-11-19,111
LD00604,2026-01-25,Dhanmondi,Walk-in,USA,Study Abroad Consultation,Tanvir,10-20 Lakh,0,Application Submitted,2026-05-30,125
LD00605,2026-05-24,Kalabagan,Facebook Ads,Germany,Study Abroad Consultation,Rafi,5-10 Lakh,2,Lost,2026-05-29,5
LD00606,2025-05-09,Dhanmondi,Seminar/Event,Canada,Study Abroad Consultation,Nusrat,10-20 Lakh,3,Contacted,2025-05-18,9
LD00607,2026-04-02,Uttara,Website Form,UK,IELTS Preparation,Mim,10-20 Lakh,7,New,2026-04-06,4
LD00608,2026-01-10,Dhanmondi,Facebook Ads,USA,Study Abroad Consultation,Priya,5-10 Lakh,3,New,2026-01-22,12
LD00609,2025-02-02,Kalabagan,Google Ads,Canada,Study Abroad Consultation,Tanvir,20+ Lakh,3,Application Submitted,2025-02-23,21
LD00610,2025-07-07,Uttara,Google Ads,Australia,Study Abroad Consultation,Arafat,5-10 Lakh,2,Consultation Done,2025-07-10,3
LD00611,2025-11-29,Kalabagan,Google Ads,UK,Study Abroad Consultation,Priya,20+ Lakh,7,Lost,2026-01-06,38
LD00612,2025-05-29,Kalabagan,Facebook Ads,Canada,Study Abroad Consultation,Mim,5-10 Lakh,1,Contacted,2025-06-17,19
LD00613,2025-01-06,Uttara,Facebook Ads,UK,Study Abroad Consultation,Arafat,10-20 Lakh,5,Lost,2025-01-07,1
LD00614,2026-01-31,Chattogram,Website Form,Canada,Study Abroad Consultation,Shuvo,5-10 Lakh,2,Lost,2026-03-19,47
LD00615,2025-01-04,Uttara,Facebook Ads,UK,Study Abroad Consultation,Tanvir,5-10 Lakh,4,Lost,2025-02-08,35
LD00616,2026-02-11,Uttara,Seminar/Event,Canada,Study Abroad Consultation,Tanvir,<5 Lakh,4,Consultation Done,2026-03-02,19
